1,0,0,1
2,3,1,1
3,3,2,1
4,3,3,1
5,3,4,1
6,3,5,1
7,3,6,1
8,3,7,1
9,3,8,1
10,3,9,1
11,0,9,2
12,0,9,3
13,3,10,3
14,0,10,4
15,3,11,4
16,3,12,4
17,0,12,5
18,0,12,6
19,0,12,7
20,3,13,7
21,0,13,8
22,3,14,8
23,0,14,9
24,0,14,10
25,3,15,10
26,3,16,10
27,3,17,10
28,3,18,10
29,1,18,9
30,3,19,9
31,0,19,10
32,3,20,10
33,0,20,11
34,0,20,12
35,0,20,13
36,0,20,14
37,0,20,15
38,0,20,16
39,0,20,17
40,3,21,17
41,0,21,18
42,3,22,18
43,3,23,18
44,0,23,19
45,0,23,20
46,2,22,20
47,0,22,21
48,0,22,22
49,0,22,23
50,3,23,23
