1,0,0,1
2,0,0,2
3,0,0,3
4,0,0,4
5,0,0,5
6,0,0,6
7,3,1,6
8,3,2,6
9,3,3,6
10,0,3,7
11,3,4,7
12,3,5,7
13,3,6,7
14,0,6,8
15,3,7,8
16,1,7,7
17,3,8,7
18,3,9,7
19,0,9,8
20,0,9,9
21,3,10,9
22,3,11,9
23,0,11,10
24,0,11,11
25,3,12,11
26,1,12,10
27,3,13,10
28,0,13,11
29,0,13,12
30,3,14,12
31,3,15,12
32,0,15,13
33,0,15,14
34,0,15,15
35,3,16,15
36,3,17,15
37,3,18,15
38,1,18,14
39,3,19,14
40,3,20,14
41,0,20,15
42,0,20,16
43,0,20,17
44,0,20,18
45,3,21,18
46,3,22,18
47,3,23,18
48,0,23,19
49,0,23,20
50,0,23,21
51,0,23,22
52,0,23,23
